序号,分部名称,子分部名称,分项名称,默认验收批次,指标名称,整改建议,问题级别,整改天数
193,精装修阶段,墙布墙纸,墙纸,"层,分层,分户",壁纸发霉,严控防水施工阶段的闭水验收工作，避免因渗漏引起的墙纸发霉，并做 好移交木作前的二次闭水验收工作；严格控制工序顺序，杜绝自流平施工滞后或因天气原因导致基层含水率 过高即开始施工木地板，导致墙根部位墙纸发霉；严控精保洁出现 强制污染或渗水问题必须墙纸返工,,0
194,精装修阶段,墙布墙纸,墙纸,"层,分层,分户",壁纸翘边,,,0
195,精装修阶段,墙布墙纸,墙纸,"层,分层,分户",墙纸收边缝隙大,,,0
196,精装修阶段,墙布墙纸,墙布,"层,分层,分户",墙布花型排列不齐、花型变形、内部错位,,,0
197,精装修阶段,墙布墙纸,墙布,"层,分层,分户",透较，墙布基地无纺布或涂层未能有效防止胶水渗透,,,0
198,精装修阶段,墙布墙纸,墙布,"层,分层,分户",翘边和断裂,,,0
199,精装修阶段,墙布墙纸,墙布,"层,分层,分户",阴阳色，同一块墙布在墙上出现颜色不一致,,,0
200,精装修阶段,卫生间,门槛石,"楼栋,层,分层,分户,地下室,室外,标段",门槛石或淋浴区挡水坎（若有）未先铺、或未采用湿贴工艺，或门槛存在渗漏,,,0
201,精装修阶段,卫生间,找坡,"楼栋,层,分层,分户,地下室,室外,标段",卫生间完成面未低于门槛石1CM，找坡不到位（泼水或玻璃球试验）,,,0
202,精装修阶段,卫生间,地漏,"楼栋,层,分层,分户,地下室,室外,标段",地漏节点做法是否符合中海相关精工体系文件,,,0
203,精装修阶段,卫生间,地漏,"楼栋,层,分层,分户,地下室,室外,标段",地漏安装方正周边整齐美观，周边材料粘接牢固，接缝平整、无裂纹，掉角、缺楞、锯口外露现象,,,0
204,精装修阶段,卫生间,防水基层,"楼栋,层,分层,分户,地下室,室外,标段",防水基层处理不到位，防水施工节点不符合要求,,,0
205,精装修阶段,公区精装工程,公区吊顶,,吊顶开裂,,,0
206,精装修阶段,公区精装工程,公区吊顶,,吊顶线条不顺直,,,0
207,精装修阶段,公区精装工程,公区吊顶,,顶棚灯具点位未居中、未在一条直线,,,0
208,精装修阶段,公区精装工程,公区吊顶,,顶棚灯具缺失、不亮、安装不到位,,,0
209,精装修阶段,公区精装工程,公区吊顶,,顶棚涂料色差,,,0
210,精装修阶段,公区精装工程,公区吊顶,,顶棚涂料破损、污染,,,0
211,精装修阶段,公区精装工程,公区墙面,,涂料露涂、咬色、色差、流坠、刷纹等,,,0
212,精装修阶段,公区精装工程,公区墙面,,涂料面层开裂、起皮、褪色等,,,0
213,精装修阶段,公区精装工程,公区墙面,,墙砖排版未按设计要求,,,0
214,精装修阶段,公区精装工程,公区墙面,,墙砖拼缝错台、高低差,,,0
215,精装修阶段,公区精装工程,公区墙面,,墙砖破损,,,0
216,精装修阶段,公区精装工程,公区墙面,,墙砖空鼓,,,0
217,精装修阶段,公区精装工程,公区墙面,,阳角成品保护不到位,,,0
218,精装修阶段,公区精装工程,公区墙面,,边角收口打胶不顺直,,,0
219,精装修阶段,公区精装工程,公区地面,,地砖排版未按设计要求,,,0
220,精装修阶段,公区精装工程,公区地面,,地砖拼缝错台、高低差,,,0
221,精装修阶段,公区精装工程,公区地面,,地砖破损,,,0
222,精装修阶段,公区精装工程,公区地面,,地砖空鼓,,,0
223,精装修阶段,公区精装工程,公区地面,,地砖错台、高低差,,,0
224,精装修阶段,公区精装工程,公区地面,,地面成品保护不到位,,,0
225,精装修阶段,公区精装工程,公区地面,,踢脚线上口未收口,,,0
226,精装修阶段,公区精装工程,公区地面,,踢脚线出墙厚度不一致,,,0
227,精装修阶段,公区精装工程,楼梯间,,顶棚、墙面、地面污染,,,0
228,精装修阶段,公区精装工程,楼梯间,,顶棚、墙面阴阳角不顺直,,,0
229,精装修阶段,公区精装工程,楼梯间,,墙、地砖破损,,,0
230,精装修阶段,公区精装工程,楼梯间,,墙、地砖空鼓,,,0
231,精装修阶段,公区精装工程,楼梯间,,墙地砖错台、高低差,,,0
232,精装修阶段,公区精装工程,楼梯间,,涂料露涂、咬色、色差、流坠、刷纹等,,,0
233,精装修阶段,公区精装工程,楼梯间,,涂料面层开裂、起皮、褪色等,,,0
234,精装修阶段,公区精装工程,楼梯间,,地面、阳角等成品保护不到位,,,0
235,精装修阶段,精装渗漏,窗边渗水,"层,分层,分户",塞缝收口不到位,,,0
236,精装修阶段,精装渗漏,窗边渗水,"层,分层,分户",工序混乱，如先收口后安装窗框,,,0
237,精装修阶段,精装渗漏,窗边渗水,"层,分层,分户",窗边打胶不到位,,,0
238,精装修阶段,精装渗漏,窗边渗水,"层,分层,分户",设计原因，如未预留足够空间安装防水百叶,,,0
239,精装修阶段,精装渗漏,窗边渗水,"层,分层,分户",飘窗顶板开裂且防水砂浆找平不到位,,,0
240,精装修阶段,精装渗漏,卫生间渗水,"层,分层,分户",沉箱中侧排地漏堵塞，沉箱内水分无法外排溢出,,,0
241,精装修阶段,精装渗漏,卫生间渗水,"层,分层,分户",沉箱防水层找平层施工不到位，防水涂料施工不到位,,,0
242,精装修阶段,精装渗漏,卫生间渗水,"层,分层,分户",沉箱防水层找平层施工不到位，防水涂料施工不到位,,,0
243,精装修阶段,精装渗漏,卫生间渗水,"层,分层,分户",墙面给排水管在做完防水层后开凿，破坏防水后未及时恢复,,,0
244,精装修阶段,精装渗漏,卫生间渗水,"层,分层,分户",给排水管直接从门槛石下方进入卫生间，破坏防水层,,,0
245,精装修阶段,精装渗漏,阳台渗漏,"层,分层,分户",阳台的下水道或排水管道堵塞,,,0
246,精装修阶段,精装渗漏,阳台渗漏,"层,分层,分户",阳台门下部与阳台下部墙体接触处密封不当或材料老化,,,0
247,精装修阶段,精装渗漏,阳台渗漏,"层,分层,分户",地辐热管道及给排水管道的渗漏,,,0
248,精装修阶段,精装渗漏,室内给排水管渗漏水、龙头及角阀漏水,"层,分层,分户",地砖、木地板施工过程中成品保护不到位，损坏管材,,,0
249,精装修阶段,精装渗漏,室内给排水管渗漏水、龙头及角阀漏水,"层,分层,分户",接管过程中热熔不到位,,,0
250,精装修阶段,精装渗漏,室内给排水管渗漏水、龙头及角阀漏水,"层,分层,分户",后期装修损坏给排水管,,,0
251,精装修阶段,精装渗漏,室内给排水管渗漏水、龙头及角阀漏水,"层,分层,分户",龙头、角阀安装不到位，安装后未及时试水整改,,,0
252,精装修阶段,精装渗漏,推拉门两侧渗水,"层,分层,分户",阳台防水找平层不到位，防水施工不到位,,,0
253,精装修阶段,精装渗漏,推拉门两侧渗水,"层,分层,分户",推拉门塞缝不到位，下口塞的木方未取出,,,0
254,精装修阶段,精装渗漏,推拉门两侧渗水,"层,分层,分户",推拉门下口走管,,,0
255,精装修阶段,精装渗漏,屋面渗漏水,"层,分层,分户",屋面混凝土浇筑养护不到位,,,0
256,精装修阶段,精装渗漏,屋面渗漏水,"层,分层,分户",烟道、通风口处出屋面的反梁防水施工不到位,,,0
257,精装修阶段,精装渗漏,屋面渗漏水,"层,分层,分户",水立管的预埋件与屋面交接处的防水处理不到位,,,0
258,机电安装,给排水与采暖,给水,,套管预留位置、尺寸不正确,,,0
259,机电安装,给排水与采暖,给水,,管道连接错误、布线冲突,,,0
260,机电安装,给排水与采暖,给水,,管道安装不横平竖直、固定不牢,,,0
261,机电安装,给排水与采暖,给水,,管道打压时漏水,,,0
262,机电安装,给排水与采暖,给水,,管道管头未封堵,,,0
263,机电安装,给排水与采暖,给水,,水表后支架漏设、减压阀漏装,,,0
264,机电安装,给排水与采暖,给水,,水表接户标识不清、接驳错误,,,0
265,机电安装,给排水与采暖,给水,,阀门、管件、管道损坏,,,0
266,机电安装,给排水与采暖,给水,,给水管在楼板面压槽太深,,,0
267,机电安装,给排水与采暖,排水,,套管预留位置、尺寸不正确,,,0
268,机电安装,给排水与采暖,排水,,排水管坡度不正确、倒坡,,,0
269,机电安装,给排水与采暖,排水,,排水管穿楼板处未设置阻火圈,,,0
270,机电安装,给排水与采暖,排水,,排水管连接不严密、漏水,,,0
271,机电安装,给排水与采暖,排水,,管井位置、深度不符合要求,,,0
272,机电安装,给排水与采暖,排水,,管井内管道高差不符合要求,,,0
273,机电安装,给排水与采暖,排水,,管井或管道堵塞、断裂等,,,0
274,机电安装,给排水与采暖,排水,,管井、管道沉降,,,0
275,机电安装,给排水与采暖,排水,,排污泵不能正常启动,,,0
276,机电安装,给排水与采暖,采暖,,套管预留位置、尺寸不正确,,,0
277,机电安装,给排水与采暖,采暖,,管道连接错误、布线冲突,,,0
278,机电安装,给排水与采暖,采暖,,管道安装不横平竖直、固定不牢,,,0
279,机电安装,给排水与采暖,采暖,,暖表接户标识不清、接驳错误,,,0
280,机电安装,给排水与采暖,采暖,,户内地热管道间距不均、间距过大,,,0
281,机电安装,给排水与采暖,采暖,,户内地热管管卡数量、位置不合要求,,,0
282,机电安装,给排水与采暖,采暖,,管道打压渗水,,,0
283,机电安装,给排水与采暖,采暖,,阀门、管件、管道松动、损坏,,,0
284,机电安装,给排水与采暖,采暖,,户内散热器安装松动、磕碰、划伤,,,0
285,机电安装,消防工程,排烟送风,,风管穿越防火分区无防火措施,,,0
286,机电安装,消防工程,排烟送风,,风管法兰表面不平整,,,0
287,机电安装,消防工程,排烟送风,,法兰接口处不严密、固定点间距大,,,0
288,机电安装,消防工程,排烟送风,,风管支吊架间距过大,,,0
289,机电安装,消防工程,排烟送风,,防火阀未单独设置支吊架,,,0
290,机电安装,消防工程,排烟送风,,风机未接地,,,0
291,机电安装,消防工程,排烟送风,,消防百叶破损、固定不牢,,,0
292,机电安装,消防工程,防火卷帘,,卷帘门安装位置错误,,,0
293,机电安装,消防工程,防火卷帘,,卷帘门及防火门安装影响车位,,,0
294,机电安装,消防工程,防火卷帘,,卷帘门控制箱损坏、不能开启关闭,,,0
295,机电安装,消防工程,防火卷帘,,卷帘门升降速度不达标,,,0
296,机电安装,消防工程,防火卷帘,,卷帘门周边封堵不密实,,,0
297,机电安装,消防工程,防火卷帘,,挡烟垂壁未安装、破损,,,0
298,机电安装,消防工程,控制室,,地面未使用静电地板,,,0
299,机电安装,消防工程,控制室,,主机电线电缆排布零乱、标识不清,,,0
300,机电安装,消防工程,控制室,,无灭火设备,,,0
301,机电安装,消防工程,控制室,,无应急照明,,,0
302,机电安装,消防工程,控制室,,消防电话不通,,,0
303,机电安装,消防工程,控制室,,设备摆放位置不合理,,,0
304,机电安装,消防工程,消防水,,镀锌钢管套丝破坏的镀锌层未做防腐处理,,,0
305,机电安装,消防工程,消防水,,消火栓箱栓口中心距地标高偏差大,,,0
306,机电安装,消防工程,消防水,,消火栓箱栓口突出、箱门不能关闭,,,0
307,机电安装,消防工程,消防水,,消火栓箱内设备破损、丢失,,,0
308,机电安装,消防工程,消防水,,消火栓箱体破损、变形、玻璃破碎,,,0
309,机电安装,消防工程,消防水,,消防管道、栓头打压漏水,,,0
310,机电安装,消防工程,消防水,,消火栓箱安装影响车位空间,,,0
311,机电安装,消防工程,消防水,,喷淋头距墙柱顶间距不符合要求,,,0
312,机电安装,消防工程,消防水,,不小于1.2m风管下未装喷头,,,0
313,机电安装,消防工程,消防报警,,烟感、报警、灯具点位不匹配、不美观,,,0
314,机电安装,消防工程,消防报警,,烟感接线不准确，导致烟感报警,,,0
315,机电安装,消防工程,消防报警,,手动报警器安装位置不正确,,,0
316,机电安装,消防工程,消防报警,,消控室未与设备联动,,,0
317,机电安装,消防工程,消防报警,,报警阀组未预留电源,,,0
318,机电安装,消防工程,消防报警,,报警点位遗漏、设备缺失,,,0
319,机电安装,强电工程,设备间,,进出线预留孔洞位置、数量偏差,,,0
320,机电安装,强电工程,设备间,,电缆沟内电缆未分层、敷设杂乱,,,0
321,机电安装,强电工程,设备间,,电缆沟无排水措施、存在积水,,,0
322,机电安装,强电工程,设备间,,箱内线路交叉混乱、回路标识不清,,,0
323,机电安装,强电工程,设备间,,配电箱内电缆未使用压线鼻,,,0
324,机电安装,强电工程,设备间,,断路器下端接线存在严重露铜现象,,,0
325,机电安装,强电工程,设备间,,设备箱体接地不合格,,,0
326,机电安装,强电工程,设备间,,标识标牌不符合要求,,,0
327,机电安装,强电工程,设备间,,室内通风装置不符合要求,,,0
328,机电安装,强电工程,设备间,,配线箱高度不符合要求、安装不垂直,,,0
329,机电安装,强电工程,管道、桥架,,桥架接地跨接不可靠,,,0
330,机电安装,强电工程,管道、桥架,,管道数量、标高不符合设计要求,,,0
331,机电安装,强电工程,管道、桥架,,电缆井位置、标高不符合设计要求,,,0
332,机电安装,强电工程,管道、桥架,,电缆管道及电缆井无接地设置,,,0
333,机电安装,强电工程,管道、桥架,,管道弯曲半径小,,,0
334,机电安装,强电工程,管道、桥架,,盖板密封不严,,,0
335,机电安装,强电工程,管道、桥架,,套管封堵不合格,,,0
336,机电安装,强电工程,管道、桥架,,桥架支架间距不合理,,,0
337,机电安装,强电工程,管道、桥架,,桥架安装接缝过大、标高不一,,,0
338,机电安装,强电工程,电线、电缆,,未按规范色标敷设及接线,,,0
339,机电安装,强电工程,电线、电缆,,管道及桥架内电线存在接头,,,0
340,机电安装,强电工程,电线、电缆,,电线并头不规范、压线不紧固,,,0
341,机电安装,强电工程,电线、电缆,,导线的三相、N线、PE线色标不一,,,0
342,机电安装,强电工程,电线、电缆,,电线电缆外部损伤,,,0
343,机电安装,强电工程,电线、电缆,,电缆的弯曲半径不足,,,0
344,机电安装,强电工程,电线、电缆,,线径不满足要求,,,0
345,机电安装,强电工程,预埋面板,,户内灯不亮、插座无电,,,0
346,机电安装,强电工程,预埋面板,,面板、灯具安装不垂直、歪斜,,,0
347,机电安装,强电工程,预埋面板,,墙面底盒高度不符合设计要求,,,0
348,机电安装,强电工程,预埋面板,,管道接头及线盒固定不牢固,,,0
349,机电安装,强电工程,预埋面板,,预留预埋位置、数量、方式不符合要求,,,0
350,机电安装,弱电工程,可视对讲,,管线不通、未入户,,,0
351,机电安装,弱电工程,可视对讲,,户内分机无信号,,,0
352,机电安装,弱电工程,可视对讲,,设备安装不正、收口不严,,,0
353,机电安装,弱电工程,可视对讲,,底座固定不牢固、丢失,,,0
354,机电安装,弱电工程,可视对讲,,电井分支箱排布不合理,,,0
355,机电安装,弱电工程,五方通话,,分机不能现场录音和编号,,,0
356,机电安装,弱电工程,五方通话,,无通话数据存储功能,,,0
357,机电安装,弱电工程,五方通话,,线路无套管,,,0
358,机电安装,弱电工程,五方通话,,分机无信号,,,0
359,机电安装,弱电工程,五方通话,,通话不清晰,,,0
360,机电安装,弱电工程,监控系统,,控制不灵、乱转,,,0
361,机电安装,弱电工程,监控系统,,设备位置、角度不合理,,,0
362,机电安装,弱电工程,监控系统,,储存空间过小、不足,,,0
363,机电安装,弱电工程,监控系统,,无图像输出、被遮挡、覆盖,,,0
364,机电安装,弱电工程,监控系统,,图像画质不清晰,,,0
365,机电安装,弱电工程,门禁、道闸,,设备安装不牢固、位置不合理,,,0
366,机电安装,弱电工程,门禁、道闸,,进、出门开启不顺畅,,,0
367,机电安装,弱电工程,门禁、道闸,,通讯不稳定,,,0
368,机电安装,弱电工程,门禁、道闸,,读取卡失灵,,,0
369,机电安装,弱电工程,门禁、道闸,,感应不灵敏,,,0
370,机电安装,弱电工程,小区广播,,室外线路无套管、裸露,,,0
371,机电安装,弱电工程,小区广播,,设备接线凌乱、标识不清,,,0
372,机电安装,弱电工程,小区广播,,广播声音不清晰,,,0
373,机电安装,弱电工程,小区广播,,广播设置位置不合理,,,0
374,机电安装,弱电工程,网络、电视,,预埋管线不通,,,0
375,机电安装,弱电工程,网络、电视,,线路无信号,,,0
376,机电安装,弱电工程,网络、电视,,面板安装不牢固、歪斜、脱落,,,0
377,机电安装,弱电工程,网络、电视,,户内弱点箱体松动、损坏,,,0
378,机电安装,燃气工程,管道,,管道距电源、距其他管线距离不符合要求,,,0
379,机电安装,燃气工程,管道,,管道埋地深度不符合要求,,,0
380,机电安装,燃气工程,管道,,燃气套管未封堵、不密实,,,0
381,机电安装,燃气工程,管道,,管道支架固定不牢固,,,0
382,机电安装,燃气工程,管道,,焊缝表面有裂缝、夹渣等,,,0
383,机电安装,燃气工程,管道,,管道刷漆不均匀,,,0
384,机电安装,燃气工程,管道,,管道覆盖后无警示标志,,,0
385,机电安装,燃气工程,设备,,调压柜未有效锁闭,,,0
386,机电安装,燃气工程,设备,,基础不符合设计要求,,,0
387,机电安装,燃气工程,设备,,设备防护不符合要求,,,0
388,机电安装,燃气工程,设备,,与建筑物安全距离不足,,,0
389,机电安装,燃气工程,设备,,成品保护不到位,,,0
390,机电安装,燃气工程,设备,,户内无燃气表或损坏,,,0
391,机电安装,燃气工程,设备,,燃气表安装位置不合理,,,0
392,机电安装,防雷工程,防雷,,焊接长度不足、质量差,,,0
393,机电安装,防雷工程,防雷,,镀锌扁铁搭接长度不够,,,0
394,机电安装,防雷工程,防雷,,防锈处理不到位,,,0
395,机电安装,防雷工程,防雷,,未与防雷引下线连通,,,0
396,机电安装,防雷工程,防雷,,防雷引下线无标识,,,0
397,机电安装,防雷工程,防雷,,出屋面金属结构未做接地保护,,,0
398,机电安装,防雷工程,防雷,,金属配电箱或桥架的接地未连接,,,0
399,机电安装,防雷工程,防雷,,避雷带设置不平整,,,0
400,机电安装,电梯工程,土建交接,,井道尺寸、垂直度不达标,,,0
401,机电安装,电梯工程,土建交接,,井道圈梁不满足设计要求,,,0
402,机电安装,电梯工程,土建交接,,井道内壁清理不达标,,,0
403,机电安装,电梯工程,土建交接,,井道螺杆洞封堵不到位,,,0
404,机电安装,电梯工程,土建交接,,底坑标高不满足设计要求,,,0
405,机电安装,电梯工程,土建交接,,底坑垃圾清理不到位,,,0
406,机电安装,电梯工程,土建交接,,底坑有积水、排水不畅,,,0
407,机电安装,电梯工程,土建交接,,预留孔洞位置、尺寸不合格,,,0
408,机电安装,电梯工程,井道安装,,导轨固定不顺直、偏差过大,,,0
409,机电安装,电梯工程,井道安装,,轿厢运行抖动、异响,,,0
410,机电安装,电梯工程,井道安装,,轿厢不能平层、有高差,,,0
411,机电安装,电梯工程,井道安装,,制动器调整不合格,,,0
412,机电安装,电梯工程,井道安装,,线管、线槽敷设混乱,,,0
413,机电安装,电梯工程,井道安装,,动力线、控制线路混敷,,,0
414,机电安装,电梯工程,井道安装,,电缆悬挂不可靠、过短或过长,,,0
415,机电安装,电梯工程,井道安装,,安全保护开关不灵,,,0
416,机电安装,电梯工程,轿厢,,层门开启不正常、红外感应失效,,,0
417,机电安装,电梯工程,轿厢,,呼叫面板固定不垂直、松动,,,0
418,机电安装,电梯工程,轿厢,,面板按钮松动、脱落,,,0
419,机电安装,电梯工程,轿厢,,屏显不正常,,,0
420,机电安装,电梯工程,轿厢,,通风设备不能正常运行,,,0
421,机电安装,电梯工程,轿厢,,照明设备不能正常运行,,,0
422,机电安装,电梯工程,轿厢,,厢内、厢门成品保护不到位,,,0
423,机电安装,电梯工程,机房,,控制柜安装、固定不规范,,,0
424,机电安装,电梯工程,机房,,线缆接驳凌乱、标识不清,,,0
425,机电安装,电梯工程,机房,,设备接地不规范,,,0
426,机电安装,电梯工程,机房,,曳引机工字钢设置不满足要求,,,0
427,机电安装,电梯工程,机房,,曳引机、导向轮安装不合格,,,0
428,机电安装,电梯工程,机房,,机房通风、降温设备未安装,,,0
429,外立面阶段,外窗,外窗塞缝施工质量,"楼栋,层,分层,分户,地下室,室外,标段",窗框与洞口间无缠绕保护膜，临时固定木楔需取出，安装完成后，清理窗框木楔或各类垫块，塞缝材料符合设计要求,,一般,7
430,外立面阶段,外窗,外窗塞缝施工质量,"楼栋,层,分层,分户,地下室,室外,标段",发泡塞缝间隙符合方案要求，超出门窗框外的发泡胶应在其固化前用手或专用工具压入缝隙中；严禁固化后用刀片切割或手撕,,一般,7
431,外立面阶段,外窗,外窗塞缝施工质量,"楼栋,层,分层,分户,地下室,室外,标段",砂浆塞缝密实、无开裂；发泡塞缝不密实、存在夹渣、孔洞、透光等现象,,一般,7
432,外立面阶段,外窗,窗框固定,"楼栋,层,分层,分户,地下室,室外,标段",角部固定片距门窗洞口四个角距离（铝合金门窗不大于150mm，塑钢窗为150mm-200mm）；中间各固定片中心距离（铝合金门窗不大于500mm，塑钢窗不大于600mm）；以1.5mm厚的镀锌板裁制，采用金属膨胀螺栓或射钉固定，应根据预留混凝土块位置，按对称顺序安装，固定片安装应形成外低内高（塑钢窗标准来源GB50210-2001;铝合金门窗标准来源JGJ214-2010）、拉片单边固定需加密,,一般,7
433,外立面阶段,外窗,外窗自身渗漏,"楼栋,层,分层,分户,地下室,室外,标段",外窗直接采取现场拼装，无泄水孔或泄水孔不符合规范和设计要求（泄水孔需在工厂加工），加工过程中榫接部位未打胶，工艺孔封堵处理不当,,一般,7
434,外立面阶段,外窗,外窗自身渗漏,"楼栋,层,分层,分户,地下室,室外,标段",窗框组角胶应在工厂组装时施工，不能在现场打胶,,一般,7
435,外立面阶段,外窗,外窗防水,"楼栋,层,分层,分户,地下室,室外,标段",外窗防水基层处理不到位，防水厚度不符合设计要求，成膜质量不佳,,一般,7
436,外立面阶段,外窗,窗框打胶收口质量、玻璃打胶质量,"楼栋,层,分层,分户,地下室,室外,标段",胶体不顺直、开裂、起皮、色差、污染等,,一般,7
437,外立面阶段,外窗,密封胶条安装质量,"楼栋,层,分层,分户,地下室,室外,标段",密封胶条宜使用连续条，连接处应粘结到位（不得使用502胶水），装配后的胶条应整齐均匀，无凸起，无破损,,一般,7
438,外立面阶段,外窗,阳台门收口,"楼栋,层,分层,分户,地下室,室外,标段",客厅地面铺装面与铝框上口平齐，不应让铝框边高出铺装面（此项内容不扣分，提醒项）,,一般,7
439,外立面阶段,外窗,阳台门收口,"楼栋,层,分层,分户,地下室,室外,标段",阳台门槛石碰踢脚线收口,,一般,7
440,外立面阶段,外窗,阳台门收口,"楼栋,层,分层,分户,地下室,室外,标段",阳台门槛石不应突出两侧踢脚线的完成面,,一般,7
441,外立面阶段,外窗,外窗收口,"楼栋,层,分层,分户,地下室,室外,标段",室内乳胶漆墙面、壁纸墙面、木饰面墙面与窗框之间严禁打胶,,一般,7
442,外立面阶段,外窗,外窗收口,"楼栋,层,分层,分户,地下室,室外,标段",窗边腻子施工时必须在窗框上张贴美纹纸，阴角直线度控制在2mm以内,,一般,7
443,外立面阶段,外窗,外窗收口,"楼栋,层,分层,分户,地下室,室外,标段",铝窗深化时重点考虑窗边收口尺寸，窗上口及两侧装饰面应压框不少于5mm，窗台预留窗台石安装空间，不再抹灰当墙面贴砖时，要充分考虑贴砖厚度，确保窗户露框且能正常开启,,一般,7
444,外立面阶段,外窗,门窗成品保护到位，五金开启灵活,"楼栋,层,分层,分户,地下室,室外,标段",门窗成品保护不到位：划痕、碰迹、污染、破坏、成品保护符合方案要求,,一般,7
445,外立面阶段,外窗,玻璃成品保护,"楼栋,层,分层,分户,地下室,室外,标段",玻璃应竖向存放，玻璃面与地面倾斜成70~80度，顶部应靠在牢固物体上，并应垫有软质隔离物底部应用木方或其它软质材料垫离地面100mm以上单层玻璃堆放不得超过20片，中空玻璃堆放不得超过15片施工中玻璃平放时，只允许单层摆放，严禁上下叠加不允许直接放置于地面上，底部垫不小于100mm的木方，木方距端头不大于300毫米，间距不大于1000毫米,,一般,7
446,外立面阶段,外窗,玻璃成品保护,"楼栋,层,分层,分户,地下室,室外,标段",玻璃存在破损、划伤、污染（涂料、砂浆等不易清理的污染）等现象,,一般,7
447,外立面阶段,外窗,成品保护措施,"楼栋,层,分层,分户,地下室,室外,标段",铝合金门窗单位：铝合金门框、门扇、玻璃、五金件；,,一般,7
448,外立面阶段,外窗,成品保护措施,"楼栋,层,分层,分户,地下室,室外,标段",现场应按集团《精装修成品保护标准指引》对成品进行保护，避免出现破损、划伤、污染等现象,,一般,7
449,外立面阶段,外窗,外窗渗漏,"楼栋,层,分层,分户,地下室,室外,标段",外窗渗漏,,一般,7
450,外立面阶段,外窗,滴水线,"楼栋,层,分层,分户,地下室,室外,标段",外窗檐口未做滴水，滴水线未在距离墙端2-5CM处截断,,一般,7
451,外立面阶段,外墙渗漏,外墙基层,"楼栋,层,分层,分户,地下室,室外,标段",砼基层有模板皮、油污、脱模剂、铁丝等，孔洞、裂缝、蜂窝、露筋、错台、胀模等缺陷未处理到位,,一般,7
452,外立面阶段,外墙渗漏,外墙基层,"楼栋,层,分层,分户,地下室,室外,标段",砌体基层未抹灰或抹灰平整度不符合规范要求（内保温基层可不抹灰）,,一般,7
453,外立面阶段,外墙渗漏,外墙保温,"楼栋,层,分层,分户,地下室,室外,标段",保温门窗洞口四角处拼接，或拼接缝离角部距离小于200mm,,一般,7
454,外立面阶段,外墙渗漏,外墙保温,"楼栋,层,分层,分户,地下室,室外,标段",阳角处未交错排布，形成通缝,,一般,7
455,外立面阶段,外墙渗漏,外墙保温,"楼栋,层,分层,分户,地下室,室外,标段",门窗洞口未用耐碱玻纤网格布翻包,,一般,7
456,外立面阶段,外墙渗漏,外墙保温,"楼栋,层,分层,分户,地下室,室外,标段",保温钉固定间距不符合规范要求,,一般,7
457,外立面阶段,外墙渗漏,外墙孔洞,"楼栋,层,分层,分户,地下室,室外,标段",外墙挂网、甩浆后孔洞未封堵,,一般,7
458,外立面阶段,外墙渗漏,外墙孔洞,"楼栋,层,分层,分户,地下室,室外,标段",外墙螺杆洞（破拆检查，螺杆洞两端内嵌填塞不得少于20mm）、工字钢等洞口封堵工艺不合理、封堵质量差（如钢管未割除、孔洞未清理干净、铁丝穿模、砖块填塞等）,,一般,7
459,外立面阶段,外墙渗漏,外墙构造柱,"楼栋,层,分层,分户,地下室,室外,标段",外墙构造柱支模时未设穿过柱身的对拉螺杆,,一般,7
460,外立面阶段,外墙渗漏,外墙构造柱,"楼栋,层,分层,分户,地下室,室外,标段",支模时穿透砌体（丁字形或转角位置等特殊位置构造柱，可以采用螺杆穿砖墙进行加固）,,一般,7
461,外立面阶段,外墙渗漏,外墙构造柱,"楼栋,层,分层,分户,地下室,室外,标段",未伸到顶,,一般,7
462,外立面阶段,外墙渗漏,外墙构造柱,"楼栋,层,分层,分户,地下室,室外,标段",马牙槎不符合规范,,一般,7
463,外立面阶段,外墙渗漏,外墙构造柱,"楼栋,层,分层,分户,地下室,室外,标段",钢筋设置不符合规范和设计要求,,一般,7
464,外立面阶段,外墙渗漏,外墙构造柱,"楼栋,层,分层,分户,地下室,室外,标段",顶部不密实,,一般,7
465,外立面阶段,外墙渗漏,外墙构造柱,"楼栋,层,分层,分户,地下室,室外,标段",成型质量差,,一般,7
466,外立面阶段,外墙渗漏,外墙灰缝,"楼栋,层,分层,分户,地下室,室外,标段",一次性砌到顶（砌体墙端头宽度不大于500mm时，一次性砌到顶不计扣分），或补砌、补塞质量差（如灰缝不饱满、顶塞不实、先码砖后抹缝、不符合节点大样图等）竖向灰缝出现透明缝、瞎缝、假缝、通缝,,一般,7
467,外立面阶段,外墙渗漏,外墙渗漏,"楼栋,层,分层,分户,地下室,室外,标段",外墙渗漏,,一般,7
468,外立面阶段,栏杆、扶手、百叶,栏杆扶手百叶,,栏杆、扶手、百叶固定不牢固,,,0
469,外立面阶段,栏杆、扶手、百叶,栏杆扶手百叶,,固定用螺栓、螺丝数量不足,,,0
470,外立面阶段,栏杆、扶手、百叶,栏杆扶手百叶,,临边防护栏杆高度不足、净间距过大,,,0
471,外立面阶段,栏杆、扶手、百叶,栏杆扶手百叶,,扶手起步位置不合理、拐角处不顺直,,,0
472,外立面阶段,栏杆、扶手、百叶,栏杆扶手百叶,,管材连接处不平整、不牢固、缝隙过大,,,0
473,外立面阶段,栏杆、扶手、百叶,栏杆扶手百叶,,与结构连接处装饰盖破损、丢失,,,0
